item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11
potato,eggs,banana,chocolate,tea,butter,sugar,beans,juice,,
jam,rice,tea,apple,banana,eggs,chocolate,salt,juice,,
lentils,bread,orange,sugar,jam,butter,oil,spices,coffee,milk,
butter,coffee,potato,milk,cheese,bread,banana,,,,
jam,bread,beans,potato,tea,milk,oil,banana,sugar,salt,coffee
butter,banana,jam,eggs,tea,oil,sugar,juice,potato,coffee,
apple,butter,cheese,jam,oil,bread,coffee,banana,chocolate,,
tomato,honey,spices,bread,onion,rice,,,,,
salt,apple,spices,jam,eggs,,,,,,
orange,potato,sugar,rice,tomato,oil,,,,,
tomato,bread,honey,potato,sugar,lentils,tea,eggs,chocolate,milk,butter
honey,lentils,coffee,tea,bread,milk,beans,,,,
tea,cheese,bread,spices,juice,jam,milk,,,,
lentils,oil,orange,juice,jam,tea,cheese,chocolate,,,
jam,juice,onion,tomato,potato,lentils,salt,milk,banana,rice,
cheese,milk,banana,bread,beans,spices,eggs,,,,
eggs,apple,juice,coffee,salt,milk,oil,,,,
bread,lentils,eggs,sugar,honey,,,,,,
jam,orange,potato,rice,milk,butter,apple,beans,sugar,,
cheese,salt,spices,butter,chocolate,,,,,,
bread,banana,onion,cheese,orange,,,,,,
juice,apple,lentils,beans,cheese,salt,tea,potato,milk,spices,
coffee,onion,bread,butter,banana,orange,juice,,,,
tomato,oil,butter,eggs,spices,rice,beans,onion,potato,tea,banana
jam,lentils,potato,tea,apple,sugar,tomato,chocolate,rice,juice,banana
eggs,butter,sugar,orange,beans,tomato,coffee,chocolate,potato,banana,
orange,coffee,banana,lentils,milk,sugar,beans,jam,apple,spices,rice
eggs,juice,oil,honey,rice,coffee,chocolate,jam,beans,bread,cheese
eggs,potato,banana,jam,beans,bread,,,,,
banana,spices,honey,butter,milk,juice,lentils,rice,apple,,
sugar,chocolate,bread,potato,banana,milk,salt,spices,,,
tomato,spices,honey,eggs,lentils,,,,,,
salt,beans,oil,tea,spices,,,,,,
orange,oil,banana,honey,butter,eggs,jam,,,,
tea,rice,onion,salt,potato,bread,spices,eggs,lentils,,
orange,milk,butter,onion,bread,salt,oil,chocolate,eggs,jam,
tea,banana,rice,oil,tomato,coffee,spices,sugar,beans,honey,
apple,spices,eggs,chocolate,butter,milk,banana,beans,,,
juice,coffee,onion,banana,honey,rice,,,,,
tomato,eggs,tea,potato,juice,banana,rice,,,,
honey,chocolate,beans,banana,tea,sugar,apple,,,,
chocolate,oil,rice,potato,coffee,butter,tomato,spices,beans,,
oil,beans,orange,juice,milk,jam,coffee,rice,eggs,onion,butter
sugar,juice,jam,eggs,banana,onion,lentils,cheese,orange,oil,butter
jam,apple,sugar,salt,cheese,butter,,,,,
cheese,milk,onion,rice,coffee,salt,chocolate,spices,butter,orange,tomato
salt,lentils,butter,potato,tomato,beans,,,,,
lentils,juice,potato,sugar,salt,bread,orange,cheese,,,
coffee,lentils,sugar,eggs,milk,salt,bread,,,,
lentils,beans,tomato,bread,onion,spices,oil,sugar,honey,rice,
oil,apple,lentils,beans,jam,butter,onion,cheese,banana,honey,
potato,apple,spices,milk,honey,salt,juice,tea,,,
tea,cheese,onion,potato,sugar,apple,bread,oil,butter,salt,
jam,apple,eggs,beans,bread,orange,,,,,
cheese,onion,tea,orange,eggs,apple,potato,juice,milk,,
banana,potato,coffee,honey,eggs,orange,jam,beans,chocolate,tomato,
cheese,juice,milk,oil,sugar,bread,,,,,
potato,jam,oil,eggs,milk,,,,,,
